Site,Deployment,Type,total_minutes_final
BRAD,20220526_BRAD_T,Treatment,18725
BRAD,20220622_BRAD_T,Treatment,17282
BRAD,20220721_BRAD_T,Treatment,20220
BRAD,20220815_BRAD_T,Treatment,15799
BRAD,20220914_BRAD_T,Treatment,21650
BRAD,20220929_BRAD_T,Treatment,3799
BRAD,20221024_BRAD_T,Treatment,20166
BRAD,20220526_BRAD_R,Reference,18727
BRAD,20220622_BRAD_R,Reference,17260
BRAD,20220721_BRAD_R,Reference,20200
BRAD,20220815_BRAD_R,Reference,0
BRAD,20220914_BRAD_R,Reference,21652
BRAD,20220929_BRAD_R,Reference,3796
BRAD,20221024_BRAD_R,Reference,20184
HERM,20220610_HERM_T,Treatment,23086
HERM,20220707_HERM_T,Treatment,21447
HERM,20220804_HERM_T,Treatment,19743
HERM,20220830_HERM_T,Treatment,15969
HERM,20220928_HERM_T,Treatment,22695
HERM,20221109_HERM_T,Treatment,23130
HERM,20221208_HERM_T,Treatment,21732
HERM,20220610_HERM_R,Reference,23089
HERM,20220707_HERM_R,Reference,21555
HERM,20220804_HERM_R,Reference,20142
HERM,20220830_HERM_R,Reference,16233
HERM,20220928_HERM_R,Reference,23120
HERM,20221109_HERM_R,Reference,22275
HERM,20221208_HERM_R,Reference,21683
LAWS,20220507_LAWS_T,Treatment,11084
LAWS,20220523_LAWS_T,Treatment,15622
LAWS,20220621_LAWS_T,Treatment,21559
LAWS,20220721_LAWS_T,Treatment,23039
LAWS,20220818_LAWS_T,Treatment,23103
LAWS,20220915_LAWS_T,Treatment,22998
LAWS,20221026_LAWS_T,Treatment,19217
LAWS,20221123_LAWS_T,Treatment,18605
LAWS,20220621_LAWS_R,Reference,12707
LAWS,20220721_LAWS_R,Reference,23033
LAWS,20220818_LAWS_R,Reference,23018
LAWS,20220915_LAWS_R,Reference,22944
LAWS,20221026_LAWS_R,Reference,19183
LAWS,20221123_LAWS_R,Reference,18534
MAPE,20220507_MAPE_T,Treatment,6749
MAPE,20220606_MAPE_T,Treatment,19928
MAPE,20220705_MAPE_T,Treatment,20065
MAPE,20220802_MAPE_T,Treatment,17214
MAPE,20220829_MAPE_T,Treatment,15086
MAPE,20220929_MAPE_T,Treatment,20203
MAPE,20221108_MAPE_T,Treatment,18743
MAPE,20221221_MAPE_T,Treatment,32204
MAPE,20220606_MAPE_R,Reference,19849
MAPE,20220705_MAPE_R,Reference,12294
MAPE,20220802_MAPE_R,Reference,17113
MAPE,20220829_MAPE_R,Reference,14986
MAPE,20220929_MAPE_R,Reference,20162
MAPE,20221108_MAPE_R,Reference,18646
MAPE,20221221_MAPE_R,Reference,26271
MOOR,20220606_MOOR_T,Treatment,22339
