Site,File,Deployment,Type,DateTime,Guild,Species,Count,Position,Tide,Foraging,Handling,sunrise,sunset,sintime,costime
BRAD,20220526_BRAD_R_00569.JPG,20220526_BRAD_R,Reference,2022-05-13T23:43:00Z,Mesomammal,Raccoon,1,Mudflat,Mid,FALSE,FALSE,2022-05-13T05:58:50Z,2022-05-13T20:04:11Z,-0.40300636017669844,0.9151971774744113
BRAD,20220526_BRAD_R_00585.JPG,20220526_BRAD_R,Reference,2022-05-13T23:59:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-13T05:58:50Z,2022-05-13T20:04:11Z,-0.32430058074846385,0.9459540862675149
BRAD,20220526_BRAD_R_00586.JPG,20220526_BRAD_R,Reference,2022-05-14T00:00:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9948842974023268,-0.1010209620934118
BRAD,20220526_BRAD_R_00587.JPG,20220526_BRAD_R,Reference,2022-05-14T00:01:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9954055503042191,-0.09574857922473216
BRAD,20220526_BRAD_R_00588.JPG,20220526_BRAD_R,Reference,2022-05-14T00:02:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.995906847514076,-0.09038556895088341
BRAD,20220526_BRAD_R_00589.JPG,20220526_BRAD_R,Reference,2022-05-14T00:03:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9963717390243346,-0.08510791780805795
BRAD,20220526_BRAD_R_00590.JPG,20220526_BRAD_R,Reference,2022-05-14T00:04:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9968086626531819,-0.07982787770932545
BRAD,20220526_BRAD_R_00591.JPG,20220526_BRAD_R,Reference,2022-05-14T00:05:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9972110197565908,-0.0746336524365533
BRAD,20220526_BRAD_R_00592.JPG,20220526_BRAD_R,Reference,2022-05-14T00:06:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9975985579947318,-0.06926122354414203
BRAD,20220526_BRAD_R_00593.JPG,20220526_BRAD_R,Reference,2022-05-14T00:07:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9979458545611387,-0.06406302649921093
BRAD,20220526_BRAD_R_00594.JPG,20220526_BRAD_R,Reference,2022-05-14T00:08:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.998276444850766,-0.05868679285934361
BRAD,20220526_BRAD_R_00595.JPG,20220526_BRAD_R,Reference,2022-05-14T00:09:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.998568641886367,-0.05348520768601861
BRAD,20220526_BRAD_R_00596.JPG,20220526_BRAD_R,Reference,2022-05-14T00:10:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9988379954009036,-0.04819397206606415
BRAD,20220526_BRAD_R_00597.JPG,20220526_BRAD_R,Reference,2022-05-14T00:11:02Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9990868727444858,-0.04272494247677221
BRAD,20220526_BRAD_R_00598.JPG,20220526_BRAD_R,Reference,2022-05-14T00:12:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9992925843306375,-0.03760759101293019
BRAD,20220526_BRAD_R_00599.JPG,20220526_BRAD_R,Reference,2022-05-14T00:13:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9994778069856483,-0.032312742736563024
BRAD,20220526_BRAD_R_00600.JPG,20220526_BRAD_R,Reference,2022-05-14T00:14:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.999634974572772,-0.02701698745037147
BRAD,20220526_BRAD_R_00601.JPG,20220526_BRAD_R,Reference,2022-05-14T00:15:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9997640826803577,-0.02172047380475201
BRAD,20220526_BRAD_R_00602.JPG,20220526_BRAD_R,Reference,2022-05-14T00:16:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9998665739936705,-0.01633506076388754
BRAD,20220526_BRAD_R_00603.JPG,20220526_BRAD_R,Reference,2022-05-14T00:17:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999390852726084,-0.011037470008071804
BRAD,20220526_BRAD_R_00604.JPG,20220526_BRAD_R,Reference,2022-05-14T00:18:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999830178242926,-0.005827869509580556
BRAD,20220526_BRAD_R_00605.JPG,20220526_BRAD_R,Reference,2022-05-14T00:19:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999998596510464,-5.298092933750337e-4
BRAD,20220526_BRAD_R_00606.JPG,20220526_BRAD_R,Reference,2022-05-14T00:20:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999886317560384,0.004768265794432028
BRAD,20220526_BRAD_R_00607.JPG,20220526_BRAD_R,Reference,2022-05-14T00:21:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.999949334454432,0.010066207038327054
BRAD,20220526_BRAD_R_00608.JPG,20220526_BRAD_R,Reference,2022-05-14T00:22:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.999881968849292,0.015363865726550772
BRAD,20220526_BRAD_R_00609.JPG,20220526_BRAD_R,Reference,2022-05-14T00:23:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9997865368315523,0.020661093155277827
BRAD,20220526_BRAD_R_00610.JPG,20220526_BRAD_R,Reference,2022-05-14T00:24:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9996630410799635,0.025957740632788204
BRAD,20220526_BRAD_R_00611.JPG,20220526_BRAD_R,Reference,2022-05-14T00:25:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9995114850610176,0.0312536594836383
